"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000157227",131.420894078467,-7.371337570806,0.643167633803568,-11.4609896135683,2.07134394549933e-30,2.85910193977205e-28,"MMP14"
"ENSG00000154027",229.582134204392,2.32753439413043,0.203152384713446,11.4570862528319,2.16682299952979e-30,2.9600589244092e-28,"AK5"
"ENSG00000165029",139.896967906824,3.29945426955226,0.28825499239071,11.4463039900453,2.45386646080419e-30,3.3179780073588e-28,"ABCA1"
"ENSG00000243927",4439.80843010109,1.05020434039303,0.0919574146074728,11.4205509678138,3.30134334724108e-30,4.41879804992844e-28,"MRPS6"
"ENSG00000137312",3631.68857663352,-1.33752917679661,0.117352112647125,-11.3975722006687,4.29941897111842e-30,5.69716007862902e-28,"FLOT1"
"ENSG00000213853",393.859442993295,-2.13919356853673,0.187803615220143,-11.390587801141,4.65836525820681e-30,6.11168297391074e-28,"EMP2"
"ENSG00000184436",696.658880785052,-1.12682535807636,0.0990968139044577,-11.3709544603802,5.83460523969865e-30,7.57983863051439e-28,"THAP7"
"ENSG00000143153",2039.17908822963,1.10175132048999,0.0970085162030228,11.3572639146877,6.82487625890965e-30,8.78023643755454e-28,"ATP1B1"
"ENSG00000105341",1202.93575531816,-1.00016618370855,0.0883391075028844,-11.3218959527737,1.02236565087891e-29,1.30263146536504e-27,"DMAC2"
"ENSG00000068366",2804.95956740046,0.92152497880126,0.0814998913548801,11.3070700277207,1.21065013737359e-29,1.52784047336547e-27,"ACSL4"
"ENSG00000064666",2988.44198445164,1.67910335920572,0.14855756103756,11.3027122112027,1.27226888678936e-29,1.59045613385338e-27,"CNN2"
"ENSG00000153904",9902.99423053489,1.23783831113456,0.109620354401736,11.2920480679905,1.43649830002955e-29,1.7789756050179e-27,"DDAH1"
"ENSG00000153779",141.0013539645,3.52786287045834,0.312527040944289,11.2881844073365,1.50105266680992e-29,1.84170823036095e-27,"TGIF2LX"
"ENSG00000136758",2072.52744455945,0.871446947930768,0.0776838049440585,11.2178715828648,3.33193156757365e-29,4.05058946806591e-27,"YME1L1"
"ENSG00000204568",5161.33927754409,-1.15184298974897,0.102886908496964,-11.1952337432994,4.30265994195342e-29,5.18314062643861e-27,"MRPS18B"
"ENSG00000133818",1200.4391634587,1.30011718770122,0.116292439892108,11.1797223354109,5.12500825606872e-29,6.11815174785285e-27,"RRAS2"
"ENSG00000105088",78.7511603358644,-5.1129185634123,0.458810393539494,-11.143859501457,7.67208924052085e-29,9.07704058269123e-27,"OLFM2"
"ENSG00000171903",88.9007333966608,-6.07594872303102,0.545417417763611,-11.1399975966011,8.01215109271223e-29,9.39548797606458e-27,"CYP4F11"
"ENSG00000167359",121.127680108732,-6.25479290716054,0.564566323317484,-11.0789337741691,1.58751758714332e-28,1.84528031116107e-26,"OR51I1"
"ENSG00000125755",2881.84500715619,-0.955695381704563,0.0863244073147889,-11.0709753062021,1.73501929634477e-28,1.99919484311865e-26,"SYMPK"
"ENSG00000153707",85.8739246759171,-3.97948006329827,0.359682284932372,-11.0638756202477,1.87803347109085e-28,2.14532944184696e-26,"PTPRD"
"ENSG00000174136",672.527262234038,1.61654836002192,0.146538282667574,11.0315770772959,2.69104114491038e-28,3.0477765992485e-26,"RGMB"
"ENSG00000135069",6177.65072731582,-1.22795678209502,0.111350140059214,-11.0278871804025,2.80374490643236e-28,3.14851048772332e-26,"PSAT1"
"ENSG00000148634",1097.38918006798,1.0640680162999,0.0965827602382403,11.0171630389851,3.15857394951779e-28,3.51716499202187e-26,"HERC4"
"ENSG00000196139",1634.46371096758,-1.51577689001572,0.137750075333197,-11.0038189550843,3.66283810836049e-28,4.04468898115707e-26,"AKR1C3"
"ENSG00000157617",1023.78180104062,1.03050343274959,0.0939802130604204,10.9651106247979,5.62317453373461e-28,6.15807320219152e-26,"C2CD2"
"ENSG00000172572",207.964676395118,3.37528026607923,0.308384375714231,10.9450430433187,7.01843840966632e-28,7.62305962020396e-26,"PDE3A"
"ENSG00000140853",912.442206044877,1.07507113342097,0.0983395574820416,10.9322348091437,8.08327821079532e-28,8.70825362367876e-26,"NLRC5"
"ENSG00000171451",723.915254420997,1.29663012072706,0.119013025681543,10.8948588887792,1.21955467571697e-27,1.30325153289722e-25,"DSEL"
"ENSG00000114480",2083.44741811046,0.925427320695771,0.0851380488747282,10.869726672471,1.60681493314412e-27,1.70335237432742e-25,"GBE1"
"ENSG00000012061",333.704255174743,-2.2458361912375,0.207081114532037,-10.8452004245421,2.10174698657333e-27,2.21033724754629e-25,"ERCC1"
"ENSG00000176396",993.353972892245,-1.06340114391093,0.0980687477583336,-10.8434253339445,2.14294178585839e-27,2.23591508696138e-25,"EID2"
"ENSG00000137575",3388.74103176001,0.848411337234136,0.0782587752235013,10.8411016504045,2.19808023188631e-27,2.27552821505667e-25,"SDCBP"
"ENSG00000255248",200.669298311754,2.50865055716724,0.231481057734689,10.8373902457389,2.28908001057837e-27,2.35136428063364e-25,"MIR100HG"
"ENSG00000148154",937.920753245557,1.40246040685127,0.129671618109097,10.8154770280675,2.90775960781469e-27,2.96390173562712e-25,"UGCG"
